Date,Water_UnitSales,Alcohol_UnitSales
10/6/2019,166396556.00,150101757.00
10/13/2019,157116476.00,147027893.00
10/20/2019,150442968.00,145748467.00
10/27/2019,149196153.00,145996632.00
11/3/2019,144728816.00,146590953.00
11/10/2019,146886834.00,143968760.00
11/17/2019,140203026.00,141678125.00
11/24/2019,143166436.00,151694472.00
12/1/2019,136028991.00,163029368.00
12/8/2019,138124671.00,139866663.00
12/15/2019,138768181.00,146039284.00
12/22/2019,139565530.00,164211459.00
12/29/2019,133872176.00,166060450.00
1/5/2020,142915322.00,142979165.00
1/12/2020,148202284.00,129788408.00
1/19/2020,144588969.00,133867491.00
1/26/2020,139563130.00,131814687.00
2/2/2020,145589754.00,140908135.00
2/9/2020,145811347.00,135213249.00
2/16/2020,145963504.00,139027774.00
2/23/2020,148698369.00,135671046.00
3/1/2020,162002789.00,138655936.00
3/8/2020,181847250.00,142254399.00
3/15/2020,242981515.00,162755954.00
3/22/2020,190961567.00,166645231.00
3/29/2020,133721824.00,152075759.00
4/5/2020,130734361.00,158560013.00
4/12/2020,126596409.00,161237165.00
4/19/2020,125274490.00,162488799.00
4/26/2020,135414150.00,169305471.00
5/3/2020,147473511.00,177973425.00
5/10/2020,152528664.00,178806642.00
5/17/2020,151994119.00,174513627.00
5/24/2020,165674787.00,184465375.00
5/31/2020,171280927.00,175790129.00
6/7/2020,184235665.00,175326122.00
6/14/2020,186679868.00,173701921.00
6/21/2020,185657207.00,175780291.00
6/28/2020,190216735.00,170418251.00
7/5/2020,204608308.00,189223567.00
7/12/2020,197300015.00,164971293.00
7/19/2020,200278993.00,167486253.00
7/26/2020,193526736.00,166033150.00
8/2/2020,196689258.00,167302712.00
8/9/2020,191594329.00,166890848.00
8/16/2020,197873427.00,167033566.00
8/23/2020,193655690.00,165920487.00
8/30/2020,187524974.00,164612306.00
9/6/2020,185960828.00,173691158.00
9/13/2020,170461581.00,161272812.00
9/20/2020,166607508.00,160904645.00
9/27/2020,162696767.00,159371372.00
10/4/2020,165332141.00,159439423.00
10/11/2020,165512791.00,159483615.00
10/18/2020,160530477.00,157532045.00
10/25/2020,154508769.00,156211868.00
11/1/2020,149802929.00,159846272.00
11/8/2020,154328455.00,156706180.00
11/15/2020,151600270.00,154931497.00
11/22/2020,153439914.00,162484625.00
11/29/2020,133029634.00,166533971.00
